run_id,method,instance,seed,sorting_rule,depth,input_node_count,generated_child_count,unique_child_count,retained_node_count,terminal_node_count,safety_max_depth_reached
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_LS,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_LS_RP,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_LS_RP,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_LS_RP,3,3,46,46,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_LS_RP,4,4,12,9,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_LS_RP,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_RP,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_RP,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_RP,3,3,46,46,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_RP,4,4,12,9,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_RP,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS,3,3,46,46,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS,4,4,12,9,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS_RP,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS_RP,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS_RP,3,3,46,46,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS_RP,4,4,12,9,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,PF_SS_RP,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP,3,3,16,16,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP,4,4,8,4,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP_LS,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP_LS,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP_LS,3,3,16,16,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP_LS,4,4,8,4,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,RP_LS,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS,3,3,30,30,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS,4,4,8,4,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_LS_PF,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_LS_PF,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_LS_PF,3,3,30,30,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_LS_PF,4,4,8,4,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_LS_PF,5,4,0,0,0,4,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_PF_LS,1,1,59,59,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_PF_LS,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_PF_LS,3,3,30,30,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_PF_LS,4,4,8,4,4,0,False
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_120,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,120,SS_PF_LS,5,4,0,0,0,4,False
